name,id
Adonkia CHP,Rp268JB6Ne4
Afro Arab Clinic,cDw53Ej8rju
Agape CHP,GvFqTavdpGE
Ahamadyya Mission Cl,plnHVbJR6p4
Ahmadiyya Muslim Hospital,BV4IomHvri4
"Air Port Centre, Lungi",qjboFI0irVu
Alkalia CHP,dWOAzMcK2Wt
Allen Town Health Post,kbGqmM6ZWWV
Approved School CHP,eoYV2p74eVz
Arab Clinic,nq7F0t1Pz6t
Baama CHC,r5WWF9WDzoa
Babara CHC,yMCshbaVExv
Badala MCHP,tlMeFk8C4CG
Badjia,YuQRtpLP10I
Bafodia CHC,Jiymtq0A01x
Bagruwa,jPidqyo7cpF
Baiama CHP,XtuhRhmbrJM
Bai Bureh Memorial Hospital,BH7rDkWjUqc
Baiima CHP,c41XRVOYNJm
Bai Largo MCHP,Rll4VmTDRiE
Bailor CHP,Eyj2kiEJ7M3
Baiwala CHP,HFyjUvMjQ8H
Bakeloko CHP,MHAWZr2Caxw
Bambara Kaima CHP,LOpWauwwghf
Bambara MCHP,mUuCjQWMaOc
Bambawolo CHP,TNbHYOuQi8s
Bambuibu Tommy MCHP,aSfF9kuNINJ
Bambukoro MCHP,wYLjA4vN6Y9
Banana Island MCHP,jjtzkzrmG7s
Bandajuma Clinic CHC,FNnj3jKGS7i
Bandajuma Kpolihun CHP,ABM75Q1UfoP
Bandajuma MCHP,rx9ubw0UCqj
Bandajuma Sinneh MCHP,OZ1olxsTyNa
Bandajuma Yawei CHC,MpcMjLmbATv
Bandakarifaia MCHP,qO2JLjYrg91
Bandaperie CHP,U7yKrx2QVet
Bandasuma CHP,uPshwz3B3Uu
Bandasuma Fiama MCHP,aF6iPGbrcRk
Bandawor MCHP,lpAPY3QOY2D
Bandusuma MCHP,t1aAdpBbDB3
Bangambaya MCHP,xQIU41mR69s
Bangoma MCHP,pdF4XIHIGPx
Banka Makuloh MCHP,rxc497GUdDt
Baoma,vWbkYPRmKyS
Baomahun CHC,FLjwMPWLrL2
Baoma (Koya) CHC,Yj2ni275yPJ
Baoma Kpenge CHP,a1dP5m3Clw4
Baoma (Luawa) MCHP,TQ5DSmdliN7
Baoma MCHP,t52CJEyLhch
Baoma Oil Mill CHC,Y8foq27WLti
